dataset	sample_id	source_path	points	sha256	source_evidence	formal_preprocessing
8iVFB	longdress	/REDACTED/N30_PROJECT_ROOT/data/8iVFB/longdress/longdress_vox10_1300.ply	857966	da32b3ee5e3c3d83407c31a75acc08c22ed137ece83339d056547c41a266b001	official_nju_box_byte_match	identity
8iVFB	loot	/REDACTED/N30_PROJECT_ROOT/data/8iVFB/loot/loot_vox10_1200.ply	805285	64d9a6c368c85fba0218a066518124ced0e174b7264eda9bf4a61f6ad70c86e6	official_nju_box_byte_match	identity
8iVFB	redandblack	/REDACTED/N30_PROJECT_ROOT/data/8iVFB/redandblack/redandblack_vox10_1550.ply	757691	6091282374f7e396e6b9f01ae4a3e0d5041d0ee3a0cb22556353ff5f600906f8	official_nju_box_byte_match	identity
8iVFB	soldier	/REDACTED/N30_PROJECT_ROOT/data/8iVFB/soldier/soldier_vox10_0690.ply	1089091	873b9e187d10314501daa041b52fbf1b1355db6974f40f9eb5d4da47ebfcd1a6	official_nju_box_byte_match	identity
Owlii	basketball_player	/REDACTED/N30_PROJECT_ROOT/data/Owlii_vox10_floor_v1/basketball_player_vox11_00000200.ply	796217	c0856f10c30c8b1d69e310f77a004a172c1cc35d7d39510f74c9ad39842c86e0	author_compatible_deterministic_derivation	identity
Owlii	dancer	/REDACTED/N30_PROJECT_ROOT/data/Owlii_vox10_floor_v1/dancer_vox11_00000001.ply	702038	c88373584a850612e4b754c14c6bf1d964883177947c3a25c2837a47f6e9ae48	author_compatible_deterministic_derivation	identity
Owlii	exercise	/REDACTED/N30_PROJECT_ROOT/data/Owlii_vox10_floor_v1/exercise_vox11_00000001.ply	645135	6d3aaae352d090b603d4d80f13a0bf65baca98fe4717627aadf98fab5a3ca82e	author_compatible_deterministic_derivation	identity
Owlii	model	/REDACTED/N30_PROJECT_ROOT/data/Owlii_vox10_floor_v1/model_vox11_00000001.ply	657755	979c17678e269c9ad97b0530a52890bcf7ffc9c29732388224aac5294ba5bbc4	author_compatible_deterministic_derivation	identity
CTC	basketball_player_vox11_00000200	/REDACTED/N30_PROJECT_ROOT/data/scalable_attribute_thesis/datasets/unicorn_official/owlii_vox11/basketball_player_vox11_00000200.ply	2925514	a73faf6bd858b74eb236a57f0f00d161bc7aa0342f883e8d71eaff97c5549fd3	author_name_frame_precision_match	kdtree_800k_global_no_recenter
CTC	dancer_vox11_00000001	/REDACTED/N30_PROJECT_ROOT/data/scalable_attribute_thesis/datasets/unicorn_official/owlii_vox11/dancer_vox11_00000001.ply	2592758	29bcbee86a531e509d0fe030e8623f144c853199e159e737248f6463568fe95d	author_name_frame_precision_match	kdtree_800k_global_no_recenter
CTC	Thaidancer_viewdep_vox12	/REDACTED/N30_PROJECT_ROOT/data/scalable_attribute_thesis/datasets/unicorn_official/ctc_vox12/Thaidancer_viewdep_vox12.ply	3130215	ddce408b6b35387e8b44fa9ecd2e63370f27f47edab179cb84490d58e539a3ac	official_nju_box_byte_match	kdtree_800k_global_no_recenter
CTC	longdress_viewdep_vox12	/REDACTED/N30_PROJECT_ROOT/data/scalable_attribute_thesis/datasets/unicorn_official/ctc_vox12/longdress_viewdep_vox12.ply	3096122	3a10b360f03f220d95908cdfa72ec41b2c5a5a163d611ec3c98d894540b759e0	official_nju_box_byte_match	kdtree_800k_global_no_recenter
CTC	loot_viewdep_vox12	/REDACTED/N30_PROJECT_ROOT/data/scalable_attribute_thesis/datasets/unicorn_official/ctc_vox12/loot_viewdep_vox12.ply	3017285	a8bb72e36b40587953aca76f27802d877ddd33e8c300a28a6d61f4a34e72edee	official_nju_box_byte_match	kdtree_800k_global_no_recenter
CTC	redandblack_viewdep_vox12	/REDACTED/N30_PROJECT_ROOT/data/scalable_attribute_thesis/datasets/unicorn_official/ctc_vox12/redandblack_viewdep_vox12.ply	2770567	d9f701585150e45158b4f8b22c81e0c824ae2593eb5e633414d83d720d982e4c	official_nju_box_byte_match	kdtree_800k_global_no_recenter
CTC	soldier_viewdep_vox12	/REDACTED/N30_PROJECT_ROOT/data/scalable_attribute_thesis/datasets/unicorn_official/ctc_vox12/soldier_viewdep_vox12.ply	4001754	b245f380e66daa1da272e4b54c5b3a4714e3d0de7e4a0a1dc5ae4fd497bf8346	official_nju_box_byte_match	kdtree_800k_global_no_recenter
CTC	boxer_viewdep_vox12	/REDACTED/N30_PROJECT_ROOT/data/scalable_attribute_thesis/datasets/unicorn_official/ctc_vox12/boxer_viewdep_vox12.ply	3493085	7f80cdc21aec82a7139b075c6ae8af1af4b95b5c5a5f98b64fd1e81037ad1ba7	official_nju_box_byte_match	kdtree_800k_global_no_recenter
CTC	Facade_00009_vox12	/REDACTED/N30_PROJECT_ROOT/data/scalable_attribute_thesis/datasets/unicorn_official/ctc_vox12/Facade_00009_vox12.ply	1596085	63f93f79aee5fccacd21b05a71b09aeff59a877a397cad1a4d65eb6478877be4	official_nju_box_byte_match	kdtree_800k_global_no_recenter
