path,scope,classification,state,evidence,dependency_or_replacement,sha256
scalable_attribute/,directory,ACTIVE_CORE,present,"Canonical scalable Attribute namespace: frozen prefix, Base/Full model, data and aggregation helpers.","Imports data_utils, basic_models, lossy_attribute, configs, and third_party.",
scalable_attribute/canonical/,directory,ACTIVE_CORE,present,"Canonical BaseSynthesis, EnhancementVAE, joint/rescue state and formal aggregation implementation.","Primary source for current training/evaluation scripts.",
scripts/,directory,"ACTIVE_CORE;ACTIVE_TRAINING;ACTIVE_EVALUATION;ACTIVE_CONFIG;ACTIVE_RESULT;LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC",present,"Mixed current canonical scripts, data/HPC adapters, probes, and diagnostics.","Use subdirectory and key-file rows; no bulk deletion inferred.",
scripts/scalable_attribute/,directory,"ACTIVE_CORE;ACTIVE_TRAINING;ACTIVE_EVALUATION;ACTIVE_RESULT",present,"Reference evaluator, aggregation and canonical train/eval scripts.","Routes to scalable_attribute/ and third_party metrics/codecs.",
scripts/scalable_attribute/canonical/,directory,"ACTIVE_CORE;ACTIVE_TRAINING;ACTIVE_EVALUATION;ACTIVE_RESULT",present,"Current Base, Enhancement, joint, rescue, formal evaluation, summaries and plots.","Indexed by CURRENT_TRAINING_ENTRYPOINTS.md and CURRENT_EVALUATION_ENTRYPOINTS.md.",
scripts/data/,directory,"ACTIVE_TRAINING;ACTIVE_CONFIG",present,"RWTT/MVUB/Owlii preparation and manifest generation adapters.","Requires external raw datasets; outputs are not local source artifacts.",
scripts/diagnostics/,directory,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE;GENERATED_ARTIFACT",present,"Fixed-model traces, distribution checks, multirate audits and their JSON/TSV evidence.","Used by dated drafts/results; not the canonical recipe.",
scripts/hpc/,directory,"ACTIVE_CONFIG;BROKEN_ENTRYPOINT",present,"Resource profiles and reference submission are present; generic train/eval sweep path is stale.","submit_reference_sweep.py remains present; train/eval wrappers target missing scripts.",
scripts/n30/,directory,"ACTIVE_TRAINING;LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC",present,"N30 rescue preparation and Slurm job recipes tied to historical/current rescue evidence.","Retain exact commands and paths; no relaunch implied.",
scripts/probes/,directory,"LEGACY_EXPERIMENT;LEGACY_DIAGNOSTIC;HISTORICAL_EVIDENCE",present,"Upstream interface smoke/probe helper.","Useful for compatibility evidence; not a current training launcher.",
configs/,directory,ACTIVE_CONFIG,present,"Repository configuration root.","See configs/scalable_attribute/.",
configs/scalable_attribute/,directory,ACTIVE_CONFIG,present,"Canonical operating-point mapping and Base rescue schema.","Consumed by canonical operating-point and rescue scripts.",
